district,sum_pop,mean_pop,max_pop,min_pop,std_pop
T. M KHAN,651192.0625,3.2883007526397705,75.74729919433594,0.6291765570640564,3.0698137283325195
THARPARKAR,1301300.375,0.5978246331214905,20.808197021484375,0.06126721575856209,0.5415229201316833
SUJJAWAL,760195.1875,0.8854768872261047,81.90231323242188,0.045706696808338165,1.528290867805481
UMERKOT,953369.625,1.5591055154800415,75.26959991455078,0.08318506926298141,2.2143516540527344
KARACHI CENTRAL,2843387.75,417.8380126953125,690.6770629882812,22.974746704101562,149.3430938720703
KARACHI WEST,2260294.25,44.298648834228516,624.7186279296875,0.5822095274925232,70.49726104736328
MALIR CANTONMENT,193937.96875,24.008167266845703,271.5302734375,3.788734197616577,18.311477661132812
KORANGI CREEK CANTONMENT,134343.0,61.259918212890625,292.1839599609375,5.243175983428955,73.65245056152344
MANORA CANTONMENT,13963.87109375,40.126068115234375,77.270751953125,8.302661895751953,12.77843189239502
CLIFTON CANTONMENT,995141.875,224.43434143066406,504.5226135253906,9.610406875610352,152.28408813476562
KARACHI CANTONMENT,211364.828125,378.1123962402344,534.465576171875,192.2952117919922,85.74152374267578
FAISAL CANTONMENT,463452.125,111.72905731201172,348.31488037109375,5.494919776916504,96.4118881225586
KARACHI SOUTH,2073177.5,322.172119140625,595.8402099609375,18.36760139465332,119.7982177734375
PESHAWAR,3110161.75,20.484905242919922,147.9513702392578,1.7867261171340942,22.707717895507812
KHYBER AGENCY,758422.875,2.3166580200195312,200.07408142089844,0.09084456413984299,5.728368282318115
MALIR,2233844.0,7.410305500030518,527.6099243164062,0.028884077444672585,24.14268684387207
KHANEWAL,3102008.75,6.1229376792907715,95.58322143554688,1.4804046154022217,6.343013286590576
LOWER KOHISTAN,446326.125,1.7750800848007202,43.81108474731445,0.07993829995393753,1.5569894313812256
KORANGI,1492153.25,147.65023803710938,338.24658203125,9.308696746826172,94.2547607421875
KARACHI EAST,1226608.125,198.86642456054688,552.1717529296875,19.642305374145508,114.0993423461914
THATTA,801255.0,0.9911137223243713,84.71623992919922,0.09890958666801453,2.035684108734131
LEHRI,98185.5859375,0.2604440450668335,3.9053380489349365,0.03065415285527706,0.22297550737857819
SOHBATPUR,107661.7890625,1.4415643215179443,18.954330444335938,0.10054551810026169,1.0005236864089966
