,vor_id,sum_pop_elderly,sum_pop_youth,sum_pop_general,sum_pop_women,sum_pop,min_pop,max_pop
77,vor183,1906.487716,8929.899397,37385.713873,17681.27745,31182.58984375,35.756309509277344,165.59751892089844
78,vor185,2505.500536,11735.647462,49132.19495799999,23236.682700000005,29199.552734375,22.246171951293945,148.1034698486328
79,vor186,3067.537256,14368.201202,60153.58461799999,28449.1617,36389.421875,57.125,145.1993865966797
80,vor187,2177.152768,10197.681856,42693.383104,20191.4976,27010.21875,41.54443740844727,145.3452606201172
81,vor188,1524.821996,6616.997652,28168.498567999995,13390.43176,20331.4375,41.2806510925293,147.12060546875
82,vor197,2868.525744,13336.033040000002,56286.55113200002,26453.559076,31217.515625,23.39570617675781,132.87547302246094
83,vor198,2809.286928,13060.626480000004,55124.16008400002,25907.258412,37132.515625,79.378173828125,136.47335815429688
84,vor199,2764.142248,12882.096344,54227.18779400001,25537.931534,42139.8046875,84.13232421875,156.68649291992188
85,vor200,3103.5931360000004,14479.416100000002,60881.11850800002,28697.104464,45613.13671875,88.91939544677734,169.57131958007812
86,vor201,1876.275576,8722.973160000001,36816.501078000016,17303.022954,40967.3359375,68.38466644287111,151.6754913330078
87,vor202,663.5253519999999,3089.5327560000005,13018.087506,6126.145665999999,30162.130859375,49.44862747192383,150.65199279785156
88,vor203,2469.131504,11484.988736,48447.53841200001,22779.000804,43373.359375,84.01058197021484,154.9580535888672
89,vor204,3328.625328,15503.231698000003,65304.67728400003,30738.804865999995,34233.375,80.7794418334961,129.062255859375
90,vor205,3744.501936,17526.402398000002,73433.181908,34708.520758,34342.734375,80.07706451416016,120.7366180419922
91,vor206,3643.969588,17057.419995,71461.09218899999,33779.014672000005,34090.23828125,60.48331069946289,166.67372131347656
92,vor207,4093.993792,19176.075664000004,80282.122576,37968.794400000006,45744.0703125,92.12732696533205,170.77685546875
93,vor208,3046.83064,14271.21238,59747.53341999999,28257.123,39222.9296875,30.55973243713379,170.1459197998047
94,vor209,1149.217188,5382.879621,22535.841489,10658.14785,36359.1796875,41.02542495727539,153.13308715820312
95,vor210,2104.679612,9858.220979000002,41272.203911,19519.36215,41199.921875,73.76860809326172,149.37103271484375
96,vor211,1764.499492,8264.833189,34601.362801,16364.44065,30041.279296875,28.851661682128903,146.946044921875
97,vor212,1767.45758,8278.688735000002,34659.370115,16391.87475,30348.9296875,31.94536209106445,139.20783996582028
98,vor221,1027.565616,4777.24456,20163.013948,9476.215364,29167.78515625,29.434215545654297,136.22476196289062
99,vor223,470.492904,2187.36364,9232.067362000002,4338.887965999999,16854.19921875,19.672657012939453,122.75050354003906
100,vor224,2427.652248,11286.37268,47635.67929400001,22387.821442,40372.06640625,66.43866729736328,150.60110473632812
101,vor225,2059.688064,9575.67424,40415.442592000014,18994.453856,35826.17578125,75.4975357055664,139.62944030761722
102,vor226,2394.615216,11132.780560000005,46987.42274800001,22083.153763999995,42444.4765625,93.61367797851562,142.6346435546875
103,vor227,1985.639544,9231.41604,38962.45378200001,18311.578026,41327.37109375,80.04670715332031,141.67489624023438
