vor_id,com_value_sqyard,area_sq,area_sqrt,geometry,res_value_sqyard
vor26,65340,983870.7787388605,991.9026054703459,"POLYGON ((72.9236736815051643 33.6437132716528637, 72.9057073758227716 33.6437132716528637, 72.9057073758227716 33.6287550448606254, 72.9236736815051501 33.6287550448606254, 72.9236736815051643 33.6437132716528637))",40000
vor27,65340,983699.8688128366,991.8164491541953,"POLYGON ((72.9236736815051643 33.6437132716528637, 72.9236736815051643 33.6586689000251482, 72.9057073758227716 33.6586689000251482, 72.9057073758227716 33.6437132716528637, 72.9236736815051643 33.6437132716528637))",40000
vor28,65340,983528.9215657454,991.7302665370989,"POLYGON ((72.9236736815051643 33.6586689000251482, 72.9236736815051643 33.6736219294100465, 72.9057073758227716 33.6736219294100536, 72.9057073758227716 33.6586689000251482, 72.9236736815051643 33.6586689000251482))",40000
vor29,65340,983357.9370504183,991.6440576388377,"POLYGON ((72.9236736815051643 33.6736219294100465, 72.9236736815051643 33.6885723592409363, 72.9057073758227716 33.6885723592409363, 72.9057073758227716 33.6736219294100536, 72.9236736815051643 33.6736219294100465))",38760
vor30,65340,983186.9153169444,991.5578224778142,"POLYGON ((72.9236736815051643 33.6885723592409363, 72.9236736815051643 33.7035201889519982, 72.9057073758227716 33.7035201889519982, 72.9057073758227716 33.6885723592409363, 72.9236736815051643 33.6885723592409363))",38760
vor31,65340,983015.856419642,991.4715610745686,"POLYGON ((72.9236736815051643 33.7035201889519982, 72.9236736815051643 33.7184654179782086, 72.9057073758227716 33.7184654179782086, 72.9057073758227716 33.7035201889519982, 72.9236736815051643 33.7035201889519982))",38760
vor32,65340,1013883.262446243,1006.9177039094322,"POLYGON ((72.9236736815051643 33.7361130350771674, 72.9207239980000281 33.7348485150000670, 72.9180783380000435 33.7337150510000470, 72.9146899880000774 33.7322624620000511, 72.9102652870000725 33.7303166550000242, 72.9077577280000355 33.7292123700000275, 72.9043095460000359 33.7276947740000423, 72.9002882060000843 33.7259254360000682, 72.8997128515781014 33.7256723217514107, 72.9057073758227716 33.7184654179782086, 72.9236736815051643 33.7184654179782086, 72.9236736815051643 33.7361130350771674))",38760
vor33,74250,849540.4348326819,921.7051778267722,"POLYGON ((72.9236736815051643 33.5831035593673661, 72.9285330290000502 33.5852074430000584, 72.9406641160000504 33.5904397090000657, 72.9465221583658376 33.5929693737336095, 72.9416399871875427 33.5988307982900665, 72.9236736815051643 33.5988307982900665, 72.9236736815051643 33.5831035593673661))",11479
vor34,74250,983210.6664679161,991.5697990902688,"POLYGON ((72.9236736815051643 33.5988307982900665, 72.9416399871875427 33.5988307982900665, 72.9416399871875427 33.6137942202166755, 72.9236736815051643 33.6137942202166755, 72.9236736815051643 33.5988307982900665))",11479
vor35,74250,983040.0052425726,991.4837392729004,"POLYGON ((72.9416399871875427 33.6287550448606254, 72.9236736815051501 33.6287550448606254, 72.9236736815051643 33.6137942202166755, 72.9416399871875427 33.6137942202166755, 72.9416399871875427 33.6287550448606254))",40000
