,vor_id,TDLinx,type,channel,turnover_int,turnover_obs,card_machine,Latitude,Longitude
16718,vor80,06436465,General Store,Grocery,Rank L,Rank K,No,31.387276835,74.194516408
16719,vor457,06436511,General Store,Grocery,Rank L,Rank J,No,31.496435998,74.485529705
16720,vor381,06152419,General Store,Grocery,Rank K,Rank K,No,31.316777,74.438314
16721,vor369,06433457,Kiryana Store,Grocery,Refused To Answer,Rank H,No,31.480439145,74.427548052
16722,vor369,06434325,Kiryana Store,Grocery,Refused To Answer,Rank H,No,31.480065875,74.4274744
16723,vor146,06436007,Kiryana Store,Grocery,Refused To Answer,Rank I,No,31.336627997,74.253319833
16724,vor136,06114229,Pan / Cigarette Shop,Others,Rank M,Rank L,No,31.474933333,74.241145
16725,vor257,06117820,Pan / Cigarette Shop,Others,Rank K,Rank I,No,31.573860373,74.33351397
16726,vor273,06127874,Pan / Cigarette Shop,Others,Rank J,Rank J,No,31.454435897,74.352454652
16727,vor440,06152237,Pan / Cigarette Shop,Others,Rank J,Rank I,No,31.591274287,74.477967647
16728,vor180,06154516,Pan / Cigarette Shop,Others,Rank M,Rank L,No,31.53123,74.275971
16729,vor344,06433474,Pan / Cigarette Shop,Others,Refused To Answer,Rank K,No,31.447345517,74.393167145
16730,vor113,06435345,Pan / Cigarette Shop,Others,Refused To Answer,Rank K,No,31.413465658,74.23058411
16731,vor132,06435361,Pan / Cigarette Shop,Others,Refused To Answer,Rank L,No,31.413827895,74.234413812
16732,vor113,06436223,Pan / Cigarette Shop,Others,Rank H,Rank H,No,31.412955231,74.21415746
16733,vor210,05458929,Pan / Cigarette Shop,Others,Rank L,Rank I,No,31.614942796,74.291621783
16734,vor236,05468101,Pan / Cigarette Shop,Others,Refused To Answer,Rank K,No,31.627428531,74.308248307
16735,vor206,05471511,Pan / Cigarette Shop,Others,Rank H,Rank H,No,31.558215819,74.285659437
16736,vor557,06156134,General Store,Grocery,Rank I,Rank H,No,31.527472748,74.586028823
16737,vor180,06160610,General Store,Grocery,Rank N,Rank L,No,31.532013,74.276859
16738,vor351,05650036,General Store,Grocery,Rank J,Rank J,No,31.564730428,74.402710828
16739,vor305,05700359,Kiryana Store,Grocery,Rank J,Rank H,No,31.584470477,74.359715757
16740,vor188,05673683,Soft Drinks Semi-Wholesalers,Grocery,Rank I,Rank H,No,31.647379548,74.283874735
16741,vor352,05675990,General Store,Grocery,Refused To Answer,Rank H,No,31.580178625,74.395990941
16742,vor373,05699046,Canteens,Catering,Rank H,Rank H,No,31.546524706,74.415875129
16743,vor290,06153431,Variety / Minyari Store,Others,Rank I,Rank I,No,31.368100053,74.365209513
16744,vor89,05677983,General Store,Grocery,Rank I,Rank I,No,31.303092,74.198851
16745,vor326,05880822,General Store,Grocery,Rank H,Rank H,No,31.548993775,74.377733196
16746,vor290,06167406,Canteens,Catering,Rank J,Rank J,No,31.365626,74.366635
16747,vor71,05608772,Variety / Minyari Store,Others,Rank I,Rank I,No,31.429143385,74.176518543
16748,vor369,06433458,Confectionary Shop,Others,Refused To Answer,Rank J,No,31.480257738,74.427406239
16749,vor194,06436211,Confectionary Shop,Others,Rank J,Rank J,No,31.371385047,74.285374447
16750,vor186,06146642,Confectionary Shop,Others,Rank E,Rank E,Yes,31.627644,74.275911
16751,vor290,06166901,Confectionary Shop,Others,Rank I,Rank H,No,31.364225,74.367449
16752,vor290,06105622,Confectionary Shop,Others,Refused To Answer,Rank I,No,31.368286,74.364819
16753,vor180,06125553,Confectionary Shop,Others,Refused To Answer,Rank N,No,31.527973,74.275124
16754,vor233,06150239,General Store,Grocery,Rank J,Rank I,No,31.572162,74.319943
16755,vor180,06154526,General Store,Grocery,Rank N,Rank M,No,31.531468,74.276272
16756,vor257,05527730,General Store,Grocery,Rank K,Rank J,No,31.574285651,74.339106888
16757,vor347,05532207,General Store,Grocery,Rank H,Rank H,No,31.495361852,74.400449283
16758,vor227,05532744,General Store,Grocery,Rank I,Rank I,No,31.478693,74.308949
16759,vor328,05532826,General Store,Grocery,Rank J,Rank J,No,31.572809063,74.386157839
16760,vor276,05536475,General Store,Grocery,Rank H,Rank I,No,31.499145,74.349731
16761,vor305,06046533,General Store,Grocery,Rank H,Rank H,No,31.587551932,74.35985948
16762,vor235,05688541,General Store,Grocery,Rank J,Rank J,No,31.603558181,74.316097066
16763,vor351,05691515,General Store,Grocery,Rank K,Rank K,No,31.5534983,74.4055789
16764,vor293,06171208,General Store,Grocery,Rank K,Rank K,No,31.40971575,74.366807314
16765,vor146,06436015,General Store,Grocery,Refused To Answer,Rank I,No,31.334618775,74.249599499
16766,vor170,06436069,General Store,Grocery,Rank J,Rank I,No,31.371445371,74.282802112
16767,vor153,06436294,General Store,Grocery,Rank L,Rank K,No,31.437024679,74.254357016
16768,vor80,06436478,General Store,Grocery,Rank N,Rank L,No,31.387287672,74.194462478
16769,vor80,06436484,General Store,Grocery,Rank N,Rank N,No,31.386669805,74.189952743
16770,vor80,06436485,General Store,Grocery,Rank N,Rank N,No,31.386792962,74.189927255
16771,vor206,05454741,General Store,Grocery,Rank M,Rank K,No,31.557717174,74.297074961
16772,vor210,05455058,General Store,Grocery,Rank M,Rank N,No,31.61614231,74.287534501
16773,vor206,05455065,General Store,Grocery,Rank K,Rank L,No,31.567617,74.286334
16774,vor259,06174544,Tea Stall,Others,Rank M,Rank N,No,31.608805957,74.32824056
16775,vor210,05456161,General Store,Grocery,Refused To Answer,Rank M,No,31.620011531,74.285445312
16776,vor206,05456545,General Store,Grocery,Rank L,Rank K,No,31.564094,74.29359
16777,vor150,06435395,General Store,Grocery,Rank I,Rank I,No,31.390439105,74.260916438
16778,vor410,06435553,General Store,Grocery,Rank I,Rank I,No,31.447740552,74.463395928
16779,vor169,06435637,General Store,Grocery,Rank G,Rank G,No,31.358672993,74.282559956
16780,vor134,06435811,General Store,Grocery,Rank J,Rank I,No,31.433267585,74.231679432
16781,vor113,06436202,General Store,Grocery,Rank G,Rank G,No,31.41299032,74.214200442
16782,vor68,06436474,General Store,Grocery,Rank L,Rank K,No,31.376202149,74.170760114
16783,vor206,05454662,General Store,Grocery,Rank J,Rank J,No,31.560238,74.299843
16784,vor255,05471449,Kiosk,Catering,Rank K,Rank J,No,31.538579255,74.330597841
16785,vor151,06435248,Eating Places,Catering,Rank H,Rank H,No,31.414489316,74.255100903
16786,vor151,06435254,Eating Places,Catering,Rank I,Rank I,No,31.414307827,74.255310537
16787,vor210,05457622,Kiosk,Catering,Rank K,Rank K,No,31.617115485,74.290653012
16788,vor206,05463669,Eating Places,Catering,Rank K,Rank J,No,31.563885318,74.295013178
16789,vor134,06435805,Tea Stall,Others,Rank L,Rank L,No,31.433044449,74.232058776
16790,vor98,06435932,Tea Stall,Others,Rank N,Rank M,No,31.431473595,74.210359001
16791,vor153,06436307,Tea Stall,Others,Rank M,Rank M,No,31.436129927,74.255584434
16792,vor186,05456190,Tea Stall,Others,Rank L,Rank L,No,31.620833327,74.278378219
16793,vor232,06120615,Tea Stall,Others,Rank M,Rank M,No,31.563726,74.319067
16794,vor185,05459425,General Store,Grocery,Rank H,Rank G,No,31.609302918,74.276151669
16795,vor179,05455920,General Store,Grocery,Rank K,Rank J,No,31.520943519,74.281831801
16796,vor207,05456277,General Store,Grocery,Rank K,Rank K,No,31.568787663,74.289099027
16797,vor198,05459750,General Store,Grocery,,,,31.433215434,74.293942654
16798,vor205,05685927,General Store,Grocery,Rank E,Rank E,No,31.549722057,74.303195113
16799,vor34,05676122,General Store,Grocery,Refused To Answer,Rank H,No,31.331708271,74.106208093
16800,vor209,05455922,Corner Store,Grocery,Rank D,Rank E,No,31.610600401,74.289274502
16801,vor164,05456752,Corner Store,Grocery,Rank I,Rank I,No,31.608646462,74.247882888
16802,vor232,05457122,Corner Store,Grocery,Rank I,Rank G,No,31.565795888,74.309726131
16803,vor185,05464676,Confectionary Shop,Others,Rank J,Rank I,No,31.606274796,74.277720582
16804,vor230,06123020,Confectionary Shop,Others,Rank G,Rank G,No,31.531778854,74.313123488
16805,vor89,05677990,General Store,Grocery,Rank H,Rank H,No,31.303589,74.197111
16806,vor290,06123193,Confectionary Shop,Others,Rank J,Rank J,No,31.357789,74.370752
16807,vor232,06175946,Confectionary Shop,Others,Refused To Answer,Rank K,No,31.561746,74.310867
16808,vor369,06431696,Confectionary Shop,Others,Refused To Answer,Rank M,No,31.483153866,74.420118827
16809,vor198,05463945,Kiryana Store,Grocery,Rank I,Rank I,No,31.435098092,74.29140841
16810,vor230,05467182,Kiryana Store,Grocery,Rank G,Rank F,No,31.535615288,74.320257588
16811,vor298,05475345,Pan / Cigarette Shop,Others,Rank J,Rank J,No,31.478984586,74.364027254
16812,vor278,05475806,Pan / Cigarette Shop,Others,Rank L,Rank L,No,31.534998505,74.341752181
16813,vor369,06432620,Pan / Cigarette Shop,Others,Refused To Answer,Rank G,No,31.487089273,74.420815837
16814,vor114,06434234,Pan / Cigarette Shop,Others,Rank I,Rank I,No,31.424912111,74.229771338
16815,vor59,06434376,Pan / Cigarette Shop,Others,Rank L,Rank J,No,31.404167308,74.159042134
16816,vor377,06434975,Pan / Cigarette Shop,Others,Rank M,Rank K,No,31.61239009,74.425625634
16817,vor390,06435090,Pan / Cigarette Shop,Others,Refused To Answer,Rank H,No,31.448213082,74.437634237
16818,vor221,06435382,Pan / Cigarette Shop,Others,Rank I,Rank I,No,31.398559328,74.305295117
16819,vor152,06435481,Pan / Cigarette Shop,Others,Refused To Answer,Rank G,No,31.415775,74.261302713
16820,vor206,05454311,Pan / Cigarette Shop,Others,Rank J,Rank J,No,31.567778043,74.292091288
16821,vor298,05455805,Pan / Cigarette Shop,Others,Rank L,Rank L,No,31.488400747,74.367709966
16822,vor206,05460197,Pan / Cigarette Shop,Others,Rank K,Rank J,No,31.558529,74.285412
16823,vor323,06070391,Utility Stores,Convenience,Rank G,Rank G,No,31.506603,74.382454
16824,vor187,05541830,Corner Store,Grocery,Rank L,Rank K,No,31.631317101,74.2832671
16825,vor274,06026857,Bakery,Convenience,Rank G,Rank G,No,31.473989974,74.352139147
16826,vor273,06175212,Bakery,Convenience,Refused To Answer,Rank F,Yes,31.459748,74.350517
16827,vor251,06127836,Bakery,Convenience,Rank I,Rank H,No,31.488997,74.326621
16828,vor283,06052440,Kiryana Store,Grocery,Refused To Answer,Rank H,No,31.602437159,74.353489194
16829,vor206,06143396,General Store,Grocery,Rank M,Rank K,No,31.556511667,74.288465
16830,vor206,06143415,General Store,Grocery,Rank M,Rank L,No,31.556771667,74.28729
16831,vor206,06144740,General Store,Grocery,Rank N,Rank L,No,31.557881667,74.29182
16832,vor164,05456562,General Store,Grocery,Rank J,Rank J,No,31.602525515,74.248365513
16833,vor204,05457167,General Store,Grocery,Rank J,Rank J,No,31.527966,74.297716
16834,vor186,05457677,General Store,Grocery,Rank J,Rank K,No,31.618751945,74.275159131
16835,vor164,05457259,Kiryana Store,Grocery,Rank I,Rank H,No,31.613028152,74.267115066
16836,vor298,05458440,Kiryana Store,Grocery,Rank I,Rank I,No,31.485422706,74.364954773
16837,vor185,05460353,Kiryana Store,Grocery,Rank I,Rank J,No,31.611989148,74.281427222
16838,vor259,06174473,Hawker / Vendor,Convenience,Rank J,Rank J,No,31.609104152,74.328020025
16839,vor457,06436514,Hawker / Vendor,Convenience,Rank N,Rank N,No,31.496438064,74.485570516
16840,vor198,05463857,Sweet Shops,Catering,Rank H,Rank G,No,31.434671083,74.293931874
16841,vor236,05473106,Corner Store,Grocery,Rank H,Rank H,No,31.627109205,74.306281116
16842,vor203,05458556,General Store,Grocery,Rank L,Rank L,No,31.521073399,74.286353328
16843,vor173,05698715,General Store,Grocery,,,,31.427496394,74.274440717
16844,vor143,05704456,General Store,Grocery,Rank K,Rank I,No,31.289108,74.255799
16845,vor225,06054588,General Store,Grocery,Rank G,Rank F,No,31.449821938,74.31869423
16846,vor327,05538609,General Store,Grocery,Rank K,Rank J,No,31.565466139,74.388404266
16847,vor210,05547623,General Store,Grocery,Rank K,Rank I,No,31.620952,74.289378
16848,vor329,05550211,General Store,Grocery,Rank I,Rank H,No,31.59636043,74.391163725
16849,vor353,05550223,General Store,Grocery,Rank I,Rank H,No,31.589180927,74.393492007
16850,vor195,06169446,General Store,Grocery,Rank J,Rank J,No,31.399908,74.298983
16851,vor295,06171379,General Store,Grocery,Rank I,Rank I,No,31.433737915,74.367339318
16852,vor350,05704647,General Store,Grocery,Rank D,Cannot Estimate,No,31.548603344,74.403662963
16853,vor224,05990917,Medical / General Store,Others,,,,31.436820381,74.310987382
16854,vor256,06047511,Take-Away Snacks,Catering,Rank J,Rank H,No,31.564767931,74.337843319
16855,vor252,06061552,Medical / General Store,Others,Rank H,Rank H,No,31.497951137,74.323487851
16856,vor299,06086885,Take-Away Snacks,Catering,Rank G,Rank H,No,31.493614949,74.371440918
16857,vor283,06091887,Medical / General Store,Others,Refused To Answer,Rank I,No,31.599499,74.341005
16858,vor294,06148626,Medical / General Store,Others,Rank L,Rank L,No,31.421065857,74.36861134
16859,vor70,06433988,Take-Away Snacks,Catering,Rank I,Rank I,No,31.400682512,74.169743522
16860,vor253,06075331,Take-Away Snacks,Catering,Rank F,Rank F,No,31.51007804,74.326422327
16861,vor199,06078711,Take-Away Snacks,Catering,Rank K,Rank I,No,31.452058,74.287129
16862,vor256,06096559,Take-Away Snacks,Catering,Rank G,Rank G,No,31.566541,74.329728
16863,vor98,06436358,Tea Stall,Others,Rank N,Rank M,No,31.438725734,74.203548014
16864,vor205,05900985,General Store,Grocery,Rank H,Rank H,No,31.542271337,74.298400501
16865,vor209,05461218,General Store,Grocery,Rank K,Rank I,No,31.61405202,74.295202772
16866,vor206,05463682,General Store,Grocery,Rank L,Rank K,No,31.564340236,74.293315704
16867,vor298,05469137,General Store,Grocery,Rank J,Rank J,No,31.488794268,74.366962823
16868,vor153,06174580,General Store,Grocery,Rank J,Rank I,No,31.431729708,74.253380603
16869,vor293,06175974,General Store,Grocery,Rank I,Rank I,No,31.403696,74.360435
16870,vor344,06148709,Take-Away Snacks,Catering,,,,31.454713,74.39601
16871,vor178,06152388,Medical / General Store,Others,Rank M,Rank L,No,31.4962,74.267698
16872,vor290,06093436,Medical / General Store,Others,Rank H,Rank H,No,31.368166415,74.364715775
16873,vor233,06099151,Medical / General Store,Others,Rank G,Rank F,No,31.57606,74.31329
16874,vor352,06167134,Pan / Cigarette Shop,Others,Rank J,Rank J,No,31.571964565,74.40451159
16875,vor352,06167148,Pan / Cigarette Shop,Others,Rank I,Rank I,No,31.57886414,74.399561419
16876,vor352,06167154,Pan / Cigarette Shop,Others,Rank I,Rank I,No,31.578943455,74.399407182
16877,vor290,06167390,Pan / Cigarette Shop,Others,Rank J,Rank I,No,31.364628,74.367224
16878,vor233,06169383,Pan / Cigarette Shop,Others,Refused To Answer,Cannot Estimate,No,31.57606,74.314558
16879,vor398,05572575,Pan / Cigarette Shop,Others,Rank K,Rank I,No,31.575244788,74.433116621
16880,vor328,05572748,Pan / Cigarette Shop,Others,Rank L,Rank K,No,31.581014,74.387362
16881,vor293,06175979,General Store,Grocery,Rank I,Rank H,No,31.412219,74.359807
16882,vor292,06176007,General Store,Grocery,Rank L,Rank J,No,31.397939,74.359499
16883,vor343,06169546,General Store,Grocery,Rank J,Rank I,No,31.442804561,74.397186878
16884,vor157,06169602,General Store,Grocery,Rank M,Rank L,No,31.493702,74.261483
16885,vor342,06173851,General Store,Grocery,Rank K,Rank K,No,31.418556,74.408792
16886,vor187,06174329,General Store,Grocery,Rank I,Rank I,No,31.630325282,74.281161334
16887,vor463,06157613,General Store,Grocery,Rank J,Rank H,No,31.593554,74.483387
