vor_id,res_value_sqyard,com_value_sqyard
vor307,38400.0,64800.0
vor308,24000.0,42000.0
vor309,24000.0,42000.0
vor310,24000.0,42000.0
vor311,24000.0,42000.0
vor312,3600.0,5400.0
vor313,3600.0,5400.0
vor314,3600.0,5400.0
vor315,3600.0,5400.0
vor316,3600.0,5400.0
vor317,3600.0,5400.0
vor318,3600.0,5400.0
vor319,3600.0,5400.0
vor320,3600.0,5400.0
vor321,3600.0,5400.0
vor322,3600.0,5400.0
vor323,3600.0,5400.0
vor324,3600.0,5400.0
vor325,3600.0,5400.0
vor326,3600.0,5400.0
vor327,48000.0,64800.0
vor328,38400.0,64800.0
vor329,38400.0,64800.0
vor330,38400.0,64800.0
vor331,38400.0,64800.0
vor332,38400.0,81000.0
vor333,38400.0,81000.0
vor334,24000.0,42000.0
vor335,48000.0,64800.0
vor336,48000.0,64800.0
vor337,7200.0,12000.0
vor338,24000.0,42000.0
vor339,24000.0,42000.0
vor340,24000.0,42000.0
vor341,24000.0,42000.0
vor342,24000.0,42000.0
vor343,3600.0,5400.0
vor344,3600.0,5400.0
vor345,3600.0,5400.0
vor346,3600.0,5400.0
vor347,3600.0,5400.0
vor348,3600.0,5400.0
vor349,3600.0,5400.0
vor350,3600.0,5400.0
vor351,3600.0,5400.0
vor352,3600.0,5400.0
vor353,3600.0,5400.0
vor354,3600.0,5400.0
vor355,3600.0,5400.0
vor356,3600.0,5400.0
vor357,3600.0,5400.0
vor358,38400.0,64800.0
vor359,38400.0,64800.0
vor360,38400.0,64800.0
vor361,38400.0,64800.0
vor362,38400.0,64800.0
vor363,4800.0,7560.0
vor364,13200.0,21600.0
vor365,13200.0,21600.0
vor366,24000.0,42000.0
vor367,24000.0,42000.0
vor368,7200.0,12000.0
vor369,7200.0,12000.0
vor370,4800.0,7560.0
vor371,4800.0,7560.0
vor372,4800.0,7560.0
vor373,4800.0,7560.0
vor374,4800.0,7560.0
vor375,3600.0,5400.0
vor376,3600.0,5400.0
vor377,3600.0,5400.0
vor378,3600.0,5400.0
vor379,3600.0,5400.0
vor380,3600.0,5400.0
vor381,3600.0,5400.0
vor382,3600.0,5400.0
vor383,3600.0,5400.0
vor384,3600.0,5400.0
vor385,3600.0,5400.0
vor386,3600.0,5400.0
vor387,3600.0,5400.0
vor388,3600.0,5400.0
vor389,3600.0,5400.0
vor390,3600.0,5400.0
vor391,3600.0,5400.0
vor392,38400.0,64800.0
vor393,38400.0,64800.0
vor394,38400.0,64800.0
vor395,38400.0,64800.0
vor396,4800.0,7560.0
vor397,4800.0,7560.0
