area,res_value_marla,com_value_marla,address
PAKKI THATHI & ADJOINING ABADIES WEST,"567,600","1,324,800","PAKKI+THATHI+&+ADJOINING+ABADIES+WEST,LAHORE+,PAKISTAN"
GOGEEN PUR,"469,200","857,700","GOGEEN+PUR,LAHORE+,PAKISTAN"
PCSIR SOCIETY PHASE 1,"653,400","1,057,800","PCSIR+SOCIETY+PHASE+1,LAHORE+,PAKISTAN"
PCSIR SOCIETY PHASE II & III,"716,100","1,037,700","PCSIR+SOCIETY+PHASE+II+&+III,LAHORE+,PAKISTAN"
PECO ROAD PHATAK TO GANDA NALA,-,"1,407,600","PECO+ROAD+PHATAK+TO+GANDA+NALA,LAHORE+,PAKISTAN"
PRCO COLONY NIAZ BAIG,"341,400","571,800","PRCO+COLONY+NIAZ+BAIG,LAHORE+,PAKISTAN"
P.I.A. SOCIETY,"649,200","1,315,200","P.I.A.+SOCIETY,LAHORE+,PAKISTAN"
PUNJAB GOV.T COOP SOCIETY LIMITED,"619,800","936,000","PUNJAB+GOV.T+COOP+SOCIETY+LIMITED,LAHORE+,PAKISTAN"
PUNJAB UNIVERSITY TOWN,"341,400","588,600","PUNJAB+UNIVERSITY+TOWN,LAHORE+,PAKISTAN"
RAIL TOWN,"427,200","571,800","RAIL+TOWN,LAHORE+,PAKISTAN"
RAILWAY ROAD RAIWIND,"477,600","874,500","RAILWAY+ROAD+RAIWIND,LAHORE+,PAKISTAN"
RAIWIND MAIN BAZAR,-,"938,400","RAIWIND+MAIN+BAZAR,LAHORE+,PAKISTAN"
RAIWIND (INSIDE TOWN COMMITTEE),"200,550","447,750","RAIWIND+(INSIDE+TOWN+COMMITTEE),LAHORE+,PAKISTAN"
RAIWIND KASUR ROAD,"260,250","720,600","RAIWIND+KASUR+ROAD,LAHORE+,PAKISTAN"
RAIWIND MAIN MARKET ADJOINING MARKETS,-,"892,800","RAIWIND+MAIN+MARKET+ADJOINING+MARKETS,LAHORE+,PAKISTAN"
RAIWIND MANGA ROAD,"238,800","409,500","RAIWIND+MANGA+ROAD,LAHORE+,PAKISTAN"
RAIWIND OUT SIDE COMMITTEE UC 148 TO 149,"117,300","174,900","RAIWIND+OUT+SIDE+COMMITTEE+UC+148+TO+149,LAHORE+,PAKISTAN"
RAIWIND ROAD (CHOWK AVANUE-1 TO PHATAKOUTSIDE RAIWIND),"720,600","819,000","RAIWIND+ROAD+(CHOWK+AVANUE-1+TO+PHATAKOUTSIDE+RAIWIND),LAHORE+,PAKISTAN"
