area,res_value_marla,com_value_marla,address
SHAFIQUE ABAD,"624,000","1,003,200","SHAFIQUE+ABAD,LAHORE+,PAKISTAN"
SHAH JAMAL & ADJOINING ABADIES,"648,480","1,621,200","SHAH+JAMAL+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
SHAM NAGAR.,"984,000","1,332,000","SHAM+NAGAR.,LAHORE+,PAKISTAN"
SHAMAS NAGAR,"971,400","1,294,200","SHAMAS+NAGAR,LAHORE+,PAKISTAN"
SHAMS QADRI GOR PATALA HOUSE ANDADJOINING ABADIES,"599,844","1,167,264","SHAMS+QADRI+GOR+PATALA+HOUSE+ANDADJOINING+ABADIES,LAHORE+,PAKISTAN"
SHEESHMAHAL(MAUZA),"421,512","891,660","SHEESHMAHAL(MAUZA),LAHORE+,PAKISTAN"
"SHEESHMAHAL ROAD, LAHORE","616,056","1,361,808","SHEESHMAHAL+ROAD,+LAHORE,LAHORE+,PAKISTAN"
SHERA KOT,"636,600","951,000","SHERA+KOT,LAHORE+,PAKISTAN"
SHERA KOT WESTEREN SIDE ACROSS BUND,"307,800","580,200","SHERA+KOT+WESTEREN+SIDE+ACROSS+BUND,LAHORE+,PAKISTAN"
TEGOR PARK,"680,904","1,507,716","TEGOR+PARK,LAHORE+,PAKISTAN"
PREM NAGAR MAUZA RAJ GARH,"632,400","946,800","PREM+NAGAR+MAUZA+RAJ+GARH,LAHORE+,PAKISTAN"
TURNER ROAD,-,"1,378,020","TURNER+ROAD,LAHORE+,PAKISTAN"
URDU BAZAR,"1,206,600","2,232,000","URDU+BAZAR,LAHORE+,PAKISTAN"
USMAN GUNJ (BILAL GUNJ),"632,400","951,000","USMAN+GUNJ+(BILAL+GUNJ),LAHORE+,PAKISTAN"
WARIS ROAD,"921,600","1,929,600","WARIS+ROAD,LAHORE+,PAKISTAN"
ZAILDAR PARK AND ADJOINING,"867,000","1,368,000","ZAILDAR+PARK+AND+ADJOINING,LAHORE+,PAKISTAN"
MOHNI ROAD(BILAL GUNJ),"919,200","1,173,000","MOHNI+ROAD(BILAL+GUNJ),LAHORE+,PAKISTAN"
THORNTON ROAD,-,"1,151,052","THORNTON+ROAD,LAHORE+,PAKISTAN"
ACHANT GARH,"475,200","921,600","ACHANT+GARH,LAHORE+,PAKISTAN"
ALLAMA IQBAL ROAD,"547,200","1,249,056","ALLAMA+IQBAL+ROAD,LAHORE+,PAKISTAN"
AZIZ AVENUE GULBERG,"828,000","964,800","AZIZ+AVENUE+GULBERG,LAHORE+,PAKISTAN"
BAHAR COLONY (KOT LAKHPAT),"316,800","1,180,800","BAHAR+COLONY+(KOT+LAKHPAT),LAHORE+,PAKISTAN"
BASTI SAIDAN SHAH,"468,000","1,137,600","BASTI+SAIDAN+SHAH,LAHORE+,PAKISTAN"
BHABRA (ABADI),"468,000","1,036,800","BHABRA+(ABADI),LAHORE+,PAKISTAN"
BIBI PAK DAMAN (GHARI SHAHU),"410,400","993,600","BIBI+PAK+DAMAN+(GHARI+SHAHU),LAHORE+,PAKISTAN"
CANAL BANK ROAD BOTH SIDE ICHRA BRIDGETO DOCTORS HOSPITAL,"864,000","1,540,800","CANAL+BANK+ROAD+BOTH+SIDE+ICHRA+BRIDGETO+DOCTORS+HOSPITAL,LAHORE+,PAKISTAN"
CANAL BANK ROAD BOTH SIDE FALLING INGULBERG TOWN,"864,000","1,540,800","CANAL+BANK+ROAD+BOTH+SIDE+FALLING+INGULBERG+TOWN,LAHORE+,PAKISTAN"
CANAL PARK (GULBERG),"496,800","1,022,400","CANAL+PARK+(GULBERG),LAHORE+,PAKISTAN"
DARS BARY MIAN,"309,600","676,800","DARS+BARY+MIAN,LAHORE+,PAKISTAN"
DARS ROAD,"446,400","835,200","DARS+ROAD,LAHORE+,PAKISTAN"
DAVIS ROAD,"2,246,400","2,592,000","DAVIS+ROAD,LAHORE+,PAKISTAN"
EDGERTON ROAD FRONT,"3,484,800","3,484,800","EDGERTON+ROAD+FRONT,LAHORE+,PAKISTAN"
EDGERTON ROAD OFF,-,"2,318,400","EDGERTON+ROAD+OFF,LAHORE+,PAKISTAN"
EMPRESS ROAD FRONT,"3,168,000","3,456,000","EMPRESS+ROAD+FRONT,LAHORE+,PAKISTAN"
EXMPRESS ROAD OFF,"892,800","2,592,000","EXMPRESS+ROAD+OFF,LAHORE+,PAKISTAN"
FAISAL TOWN,"734,400","1,483,200","FAISAL+TOWN,LAHORE+,PAKISTAN"
FAISAL TOWN MAIN BOULEVARD,"1,584,000","1,828,800","FAISAL+TOWN+MAIN+BOULEVARD,LAHORE+,PAKISTAN"
FEROZEPUR ROAD (CANAL BANK TO KALMACHOWK) BOTH SIDES,"2,376,000","2,707,200","FEROZEPUR+ROAD+(CANAL+BANK+TO+KALMACHOWK)+BOTH+SIDES,LAHORE+,PAKISTAN"
FEROZEPUR ROAD (KALMA CHOWK TO KOTLAKHPAT PHATTAK),"1,108,800","2,246,400","FEROZEPUR+ROAD+(KALMA+CHOWK+TO+KOTLAKHPAT+PHATTAK),LAHORE+,PAKISTAN"
FRUIT MARKET KOT LAKHPAT,-,"1,497,600","FRUIT+MARKET+KOT+LAKHPAT,LAHORE+,PAKISTAN"
GT ROAD FALLING IN GULBERG TOWN,"547,200","936,000","GT+ROAD+FALLING+IN+GULBERG+TOWN,LAHORE+,PAKISTAN"
GANDHI PARK (GULBERG),"576,000","1,569,600","GANDHI+PARK+(GULBERG),LAHORE+,PAKISTAN"
GARDEN TOWN (BARKAT MARKET),-,"2,520,000","GARDEN+TOWN+(BARKAT+MARKET),LAHORE+,PAKISTAN"
GARDEN TOWN (KHALID MARKET),-,"1,987,200","GARDEN+TOWN+(KHALID+MARKET),LAHORE+,PAKISTAN"
GARDEN TOWN (MAIN BOULEVARD KALMACHQWK TO Y JUNCTION),"1,771,200","2,088,000","GARDEN+TOWN+(MAIN+BOULEVARD+KALMACHQWK+TO+Y+JUNCTION),LAHORE+,PAKISTAN"
GARDEN TOWN BLOCKS,"648,000","1,929,600","GARDEN+TOWN+BLOCKS,LAHORE+,PAKISTAN"
GARDEN TOWN CIVIC CENTER,-,"2,456,976","GARDEN+TOWN+CIVIC+CENTER,LAHORE+,PAKISTAN"
GARHI SHAHU,"489,600","1,137,600","GARHI+SHAHU,LAHORE+,PAKISTAN"
GHALIB MARKET (GULBERG),-,"2,448,000","GHALIB+MARKET+(GULBERG),LAHORE+,PAKISTAN"
GOPAL NAGAR,"388,800","1,108,800","GOPAL+NAGAR,LAHORE+,PAKISTAN"
GURUMANGAT ROAD,-,"1,800,000","GURUMANGAT+ROAD,LAHORE+,PAKISTAN"
GULBERG FIRDOUS MARKET,-,"2,448,000","GULBERG+FIRDOUS+MARKET,LAHORE+,PAKISTAN"
"GULBERG I, I III, IV & V","835,200","2,318,400","GULBERG+I,+I+III,+IV+&+V,LAHORE+,PAKISTAN"
GULBERG INDUSTRIAL AREA,-,"950,400","GULBERG+INDUSTRIAL+AREA,LAHORE+,PAKISTAN"
GULBERG LIBERTY MARKET,-,"4,608,000","GULBERG+LIBERTY+MARKET,LAHORE+,PAKISTAN"
GULBERG M M. ALAM ROAD.,-,"3,672,000","GULBERG+M+M.+ALAM+ROAD.,LAHORE+,PAKISTAN"
GULBERG MAlN BOULEVARD,"1,339,200","4,536,000","GULBERG+MAlN+BOULEVARD,LAHORE+,PAKISTAN"
GULBERG MAIN MARKET,-,"3,168,000","GULBERG+MAIN+MARKET,LAHORE+,PAKISTAN"
GULBERG MAIN DOUBLE ROADS,"1,252,800","2,736,000","GULBERG+MAIN+DOUBLE+ROADS,LAHORE+,PAKISTAN"
GULBERG STADIUM ROAD,"792,000","2,232,000","GULBERG+STADIUM+ROAD,LAHORE+,PAKISTAN"
GULBERG ZAHOOR ELAHI ROAD,"878,400","2,232,000","GULBERG+ZAHOOR+ELAHI+ROAD,LAHORE+,PAKISTAN"
HABIB ULLAII ROAD (GARI SHAHU),"468,000","921,600","HABIB+ULLAII+ROAD+(GARI+SHAHU),LAHORE+,PAKISTAN"
JAIL ROAD,-,"3,427,200","JAIL+ROAD,LAHORE+,PAKISTAN"
KOT LAKHPAT INDUSTRIAL AREA,-,"1,051,200","KOT+LAKHPAT+INDUSTRIAL+AREA,LAHORE+,PAKISTAN"
KOT LAKHPAT,"432,000","763,200","KOT+LAKHPAT,LAHORE+,PAKISTAN"
LIAQAT ABAD MAIN BAZAR,"820,800","936,000","LIAQAT+ABAD+MAIN+BAZAR,LAHORE+,PAKISTAN"
LIAQAT ABAD,"288,000","576,000","LIAQAT+ABAD,LAHORE+,PAKISTAN"
MAKKA COLONY (GULBERG),"403,200","1,065,600","MAKKA+COLONY+(GULBERG),LAHORE+,PAKISTAN"
MAULANA SHAUKAT ALI ROAD,-,"1,584,000","MAULANA+SHAUKAT+ALI+ROAD,LAHORE+,PAKISTAN"
MIAN MIR,"489,600","1,310,400","MIAN+MIR,LAHORE+,PAKISTAN"
MODEL TOWN EXTENSION,"475,200","1,368,000","MODEL+TOWN+EXTENSION,LAHORE+,PAKISTAN"
MODEL TOWN EXTENSION (MAIN / DOUBLEROADS),"604,800","1,584,000","MODEL+TOWN+EXTENSION+(MAIN+/+DOUBLEROADS),LAHORE+,PAKISTAN"
MODEL TOWN EXTENSION LDA FLATS,"417,600","950,400","MODEL+TOWN+EXTENSION+LDA+FLATS,LAHORE+,PAKISTAN"
MODEL TOWN LINK ROAD,-,"3,456,000","MODEL+TOWN+LINK+ROAD,LAHORE+,PAKISTAN"
MODEL TOWN OLD,"590,400","1,555,200","MODEL+TOWN+OLD,LAHORE+,PAKISTAN"
MODEL TOWN OLD (MAIN / DOUBLE ROADS),"820,800","2,160,000","MODEL+TOWN+OLD+(MAIN+/+DOUBLE+ROADS),LAHORE+,PAKISTAN"
MUGHAL PURA ROAD,"388,800","763,200","MUGHAL+PURA+ROAD,LAHORE+,PAKISTAN"
MUHAMMAD NAGAR,"468,000","1,123,200","MUHAMMAD+NAGAR,LAHORE+,PAKISTAN"
MUMTAZ STREET GARHI SHAHU,"468,000","1,123,200","MUMTAZ+STREET+GARHI+SHAHU,LAHORE+,PAKISTAN"
NABIPURA (GULBERG),"316,800","1,123,200","NABIPURA+(GULBERG),LAHORE+,PAKISTAN"
NAWAZ SHARIF COLONY (NEAR MODEL,"309,600","734,400","NAWAZ+SHARIF+COLONY+(NEAR+MODEL,LAHORE+,PAKISTAN"
NICHOLSON ROAD,"734,400","1,872,000","NICHOLSON+ROAD,LAHORE+,PAKISTAN"
PECO ROAD(KOT LAKHPAT PHATAK TO PECOMOR),-,"1,446,240","PECO+ROAD(KOT+LAKHPAT+PHATAK+TO+PECOMOR),LAHORE+,PAKISTAN"
PINDI RAJPU TAN,"388,800","792,000","PINDI+RAJPU+TAN,LAHORE+,PAKISTAN"
QILA GUJJAP. SINGH,"547,200","1,497,600","QILA+GUJJAP.+SINGH,LAHORE+,PAKISTAN"
QAZLBASH ROAD,-,"1,468,800","QAZLBASH+ROAD,LAHORE+,PAKISTAN"
SAHOWARI,"374,400","604,800","SAHOWARI,LAHORE+,PAKISTAN"
SCOTCH CORNER,"518,400","1,180,800","SCOTCH+CORNER,LAHORE+,PAKISTAN"
SHABBIR USMANI ROAD FROM Y JUNCTION TOSHAUKAT ALI ROAD,-,"1,425,600","SHABBIR+USMANI+ROAD+FROM+Y+JUNCTION+TOSHAUKAT+ALI+ROAD,LAHORE+,PAKISTAN"
SUNDER DAS / AITCHISON ROAD,"856,800","1,022,400","SUNDER+DAS+/+AITCHISON+ROAD,LAHORE+,PAKISTAN"
THEY ZAILDARAN GULBERG,"475,200","1,526,400","THEY+ZAILDARAN+GULBERG,LAHORE+,PAKISTAN"
UPPER MALL ROAD,"892,800","2,030,400","UPPER+MALL+ROAD,LAHORE+,PAKISTAN"
UPPER MALL SCHEME,"892,800","2,088,000","UPPER+MALL+SCHEME,LAHORE+,PAKISTAN"
WAZIR ALI ROAD,-,"1,310,400","WAZIR+ALI+ROAD,LAHORE+,PAKISTAN"
ZAFAR ALI ROAD,"1,080,000","2,462,400","ZAFAR+ALI+ROAD,LAHORE+,PAKISTAN"
ZAILDAR PARK' (ICHHRA),"619,200","1,353,600","ZAILDAR+PARK'+(ICHHRA),LAHORE+,PAKISTAN"
ZAMAN PARK,"691,200","1,368,000","ZAMAN+PARK,LAHORE+,PAKISTAN"
GULBERG LIBERTY MARKET BACK SIDE,-,"3,168,000","GULBERG+LIBERTY+MARKET+BACK+SIDE,LAHORE+,PAKISTAN"
GURUMANGAT,"460,800","936,000","GURUMANGAT,LAHORE+,PAKISTAN"
GULBERG HALI ROAD,"1,224,000","2,592,000","GULBERG+HALI+ROAD,LAHORE+,PAKISTAN"
GULBERG MAIN MARKET (BACK SIDE),-,"2,304,000","GULBERG+MAIN+MARKET+(BACK+SIDE),LAHORE+,PAKISTAN"
PECO ROAD (PECO MOR TO AKBAR CHOWK),-,"1,728,000","PECO+ROAD+(PECO+MOR+TO+AKBAR+CHOWK),LAHORE+,PAKISTAN"
AL FATEH LANE (BEHIND HKB),-,"2,880,000","AL+FATEH+LANE+(BEHIND+HKB),LAHORE+,PAKISTAN"
GULBERG KASURI ROAD,"1,656,000","2,880,000","GULBERG+KASURI+ROAD,LAHORE+,PAKISTAN"
,Residential,Commercial,"nan,LAHORE+,PAKISTAN"
,property,property,"nan,LAHORE+,PAKISTAN"
,per marla,per marla,"nan,LAHORE+,PAKISTAN"
,(in Rs.),(in Rs.),"nan,LAHORE+,PAKISTAN"
ABADI SHAH FARIDABAD,"483,652","1,120,842","ABADI+SHAH+FARIDABAD,LAHORE+,PAKISTAN"
AL HAMD COLONY ICCHRA,"483,652","1,120,842","AL+HAMD+COLONY+ICCHRA,LAHORE+,PAKISTAN"
ALI PARK (ICHRA),"491,328","1,320,444","ALI+PARK+(ICHRA),LAHORE+,PAKISTAN"
ALI PARK (SAMANABAD),"491,328","1,320,444","ALI+PARK+(SAMANABAD),LAHORE+,PAKISTAN"
ALLAMA IQBAL TOWN (ALL BLOCKS),"844,470","2,149,560","ALLAMA+IQBAL+TOWN+(ALL+BLOCKS),LAHORE+,PAKISTAN"
ALLAMA IQBAL TOWN (COMMERCIAL ZONE),-,"2,364,516","ALLAMA+IQBAL+TOWN+(COMMERCIAL+ZONE),LAHORE+,PAKISTAN"
MOON MARKET LAHORE,,,"MOON+MARKET+LAHORE,LAHORE+,PAKISTAN"
AL MUMTAZ ROAD,"614,160","1,228,320","AL+MUMTAZ+ROAD,LAHORE+,PAKISTAN"
AL PATGEEN ROAD (ICHRA),"614,160","1,458,630","AL+PATGEEN+ROAD+(ICHRA),LAHORE+,PAKISTAN"
ARIAN NAGAR (SAMANABAD) ICHRA,"491,328","1,136,196","ARIAN+NAGAR+(SAMANABAD)+ICHRA,LAHORE+,PAKISTAN"
BABU SABU (GHARBI),"168,894","383,850","BABU+SABU+(GHARBI),LAHORE+,PAKISTAN"
BABU SABU ABADI AND ADJOINING. ABADI,"399,204","936,594","BABU+SABU+ABADI+AND+ADJOINING.+ABADI,LAHORE+,PAKISTAN"
BADAR PURA (IQBAL TOWN),"429,912","982,656","BADAR+PURA+(IQBAL+TOWN),LAHORE+,PAKISTAN"
BAGH GUL BEGUM,"556,356","936,594","BAGH+GUL+BEGUM,LAHORE+,PAKISTAN"
BANK COLONY (SAMANABAD / PAKKI THATTI),"552,744","1,105,488","BANK+COLONY+(SAMANABAD+/+PAKKI+THATTI),LAHORE+,PAKISTAN"
BASTAMI ROAD,"568,098","1,228,320","BASTAMI+ROAD,LAHORE+,PAKISTAN"
BHADRU (WESTERN SIDE),"138,186","383,850","BHADRU+(WESTERN+SIDE),LAHORE+,PAKISTAN"
BHEKHEYWAL AND ADJOINING ABADI,"568,098","1,166,904","BHEKHEYWAL+AND+ADJOINING+ABADI,LAHORE+,PAKISTAN"
CANAL BANK ROAD FALLING IN SAMANABAD,"1,074,780","1,888,542","CANAL+BANK+ROAD+FALLING+IN+SAMANABAD,LAHORE+,PAKISTAN"
TOWN,,,"TOWN,LAHORE+,PAKISTAN"
CHUBURJI PARK,"537,390","982,656","CHUBURJI+PARK,LAHORE+,PAKISTAN"
CHUBURJI PARK (NEW),"696,120","982,656","CHUBURJI+PARK+(NEW),LAHORE+,PAKISTAN"
CHAMARU PUR (WESTERN SIDE),"256,500","383,850","CHAMARU+PUR+(WESTERN+SIDE),LAHORE+,PAKISTAN"
CHAUDHARY COLONY SAMANBAD / ICHRA,"429,912","1,120,842","CHAUDHARY+COLONY+SAMANBAD+/+ICHRA,LAHORE+,PAKISTAN"
CHUBURJI CHOWK,-,"2,257,038","CHUBURJI+CHOWK,LAHORE+,PAKISTAN"
CHRISTIAN COLONY (ICHRA),"491,328","1,105,488","CHRISTIAN+COLONY+(ICHRA),LAHORE+,PAKISTAN"
CLIFTON COLONY (ICHRA),"491,328","1,105,488","CLIFTON+COLONY+(ICHRA),LAHORE+,PAKISTAN"
COMMERCIAL ZONE GULSHAN RAVI (MOON,"1,511,460","2,103,498","COMMERCIAL+ZONE+GULSHAN+RAVI+(MOON,LAHORE+,PAKISTAN"
MARKET),,,"MARKET),LAHORE+,PAKISTAN"
DOHATA COLONY (ICHRA),"491,328","1,274,382","DOHATA+COLONY+(ICHRA),LAHORE+,PAKISTAN"
FAROOQ E AZAM PARK (ICHRA),"491,328","1,274,382","FAROOQ+E+AZAM+PARK+(ICHRA),LAHORE+,PAKISTAN"
FATEH SHER ROAD (ICHRA),"568,098","1,351,152","FATEH+SHER+ROAD+(ICHRA),LAHORE+,PAKISTAN"
FEROZE PUR ROAD (MOZANG CHONGI TO,-,"2,886,552","FEROZE+PUR+ROAD+(MOZANG+CHONGI+TO,LAHORE+,PAKISTAN"
CANAL BRIDGE),,,"CANAL+BRIDGE),LAHORE+,PAKISTAN"
FRUIT & VEGETABLES MANDI IQBAL TOWN,-,"2,072,790","FRUIT+&+VEGETABLES+MANDI+IQBAL+TOWN,LAHORE+,PAKISTAN"
GHAZALI PARK (ICHRA),"475,974","1,274,382","GHAZALI+PARK+(ICHRA),LAHORE+,PAKISTAN"
GHAZALI ROAD CHOWK CHAUDARY COLONY,"529,714","1,351,152","GHAZALI+ROAD+CHOWK+CHAUDARY+COLONY,LAHORE+,PAKISTAN"
TO 2ND GOAL CHAKAR,,,"TO+2ND+GOAL+CHAKAR,LAHORE+,PAKISTAN"
GHULAM NABI COLONY (SAMANABAD) &,"475,974","1,274,382","GHULAM+NABI+COLONY+(SAMANABAD)+&,LAHORE+,PAKISTAN"
ADJOINING ABADIES,,,"ADJOINING+ABADIES,LAHORE+,PAKISTAN"
HUSSAIN STREETS ICHRA,-,"1,335,798","HUSSAIN+STREETS+ICHRA,LAHORE+,PAKISTAN"
ICHRA & ADJOINING ABADIES,"614,160","1,412,568","ICHRA+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
ICHRA MAIN BAZAAR,"1,274,382","2,226,330","ICHRA+MAIN+BAZAAR,LAHORE+,PAKISTAN"
ICHRA ROAD ICHRA,"614,160","1,903,896","ICHRA+ROAD+ICHRA,LAHORE+,PAKISTAN"
ILYAS COLONY,"475,974","1,105,488","ILYAS+COLONY,LAHORE+,PAKISTAN"
INDER NAGAR (SAMANABAD),"475,974","1,105,488","INDER+NAGAR+(SAMANABAD),LAHORE+,PAKISTAN"
ISLAMIA PARK,"475,974","936,594","ISLAMIA+PARK,LAHORE+,PAKISTAN"
ITTEFAQ TOWN & EXTENSION (IQBAL TOWN),"537,390","1,873,188","ITTEFAQ+TOWN+&+EXTENSION+(IQBAL+TOWN),LAHORE+,PAKISTAN"
ITTEHAD COLONY (MULTAN ROAD),"475,974","1,289,736","ITTEHAD+COLONY+(MULTAN+ROAD),LAHORE+,PAKISTAN"
ITTEHAD COLONY (SAMANABAD),"475,974","1,289,736","ITTEHAD+COLONY+(SAMANABAD),LAHORE+,PAKISTAN"
JAFFRIA COLONY,"437,590","905,886","JAFFRIA+COLONY,LAHORE+,PAKISTAN"
JANAK NAGAR,"491,328","1,036,800","JANAK+NAGAR,LAHORE+,PAKISTAN"
J INN AH COLONY (SAMANABAD),"491,328","1,036,800","J+INN+AH+COLONY+(SAMANABAD),LAHORE+,PAKISTAN"
KACHA FEROZPUR ROAD (ADJOINING ABADIES),"552,744","1,197,612","KACHA+FEROZPUR+ROAD+(ADJOINING+ABADIES),LAHORE+,PAKISTAN"
KAMBOH COLONY,"491,328","1,105,488","KAMBOH+COLONY,LAHORE+,PAKISTAN"
KARAMABAD ICHRA,"491,328","1,105,488","KARAMABAD+ICHRA,LAHORE+,PAKISTAN"
KARNAL PURA (ICHRA),"491,328","1,105,488","KARNAL+PURA+(ICHRA),LAHORE+,PAKISTAN"
KHUDA BAKSH ROAD,-,"1,381,860","KHUDA+BAKSH+ROAD,LAHORE+,PAKISTAN"
LINK WAHDAT ROAD (PILOT SCHOOL TOGANDA NALA),"844,470","1,381,860","LINK+WAHDAT+ROAD+(PILOT+SCHOOL+TOGANDA+NALA),LAHORE+,PAKISTAN"
MAHAJIR ABAD (NAWANKOT),"445,266","967,302","MAHAJIR+ABAD+(NAWANKOT),LAHORE+,PAKISTAN"
MAIN BUND ROAD (BOTH SIDES),-,"1,335,798","MAIN+BUND+ROAD+(BOTH+SIDES),LAHORE+,PAKISTAN"
MAIN BOULEVARD URDU NAGAR,"951,948","1,750,356","MAIN+BOULEVARD+URDU+NAGAR,LAHORE+,PAKISTAN"
MAIN BUND ROAD MOTORWAY CHOWK TOYATEEM KHANA,-,"1,719,648","MAIN+BUND+ROAD+MOTORWAY+CHOWK+TOYATEEM+KHANA,LAHORE+,PAKISTAN"
MAIN ROAD SCHEME MOR TO BHEYKEWALMOR,"1,842,480","2,456,640","MAIN+ROAD+SCHEME+MOR+TO+BHEYKEWALMOR,LAHORE+,PAKISTAN"
MILLAT PARK,"491,328","1,105,488","MILLAT+PARK,LAHORE+,PAKISTAN"
MILLAT ROAD SAMANABAD,"537,390","1,151,550","MILLAT+ROAD+SAMANABAD,LAHORE+,PAKISTAN"
MUHAMMAD PURA ICHRA,"475,974","1,105,488","MUHAMMAD+PURA+ICHRA,LAHORE+,PAKISTAN"
MULTAN ROAD CHOWK CHUBURJI TO MULTANCHUNGI,"767,700","1,381,860","MULTAN+ROAD+CHOWK+CHUBURJI+TO+MULTANCHUNGI,LAHORE+,PAKISTAN"
MUQADDAS PARK NAWANKOT,"483,652","1,105,488","MUQADDAS+PARK+NAWANKOT,LAHORE+,PAKISTAN"
"MUSLIM COLONY, SAMANABAD","483,652","1,105,488","MUSLIM+COLONY,+SAMANABAD,LAHORE+,PAKISTAN"
MUSLIM TOWN NEW & OLD & ADJOININGABADIES,"921,240","1,259,028","MUSLIM+TOWN+NEW+&+OLD+&+ADJOININGABADIES,LAHORE+,PAKISTAN"
NADEEM SHAHEED ROAD (SAMANABAD),"552,744","1,212,966","NADEEM+SHAHEED+ROAD+(SAMANABAD),LAHORE+,PAKISTAN"
NAJAF COLONY (IQBAL TOWN),"460,620","998,010","NAJAF+COLONY+(IQBAL+TOWN),LAHORE+,PAKISTAN"
NAWABPURA ICHRA,"499,006","1,105,488","NAWABPURA+ICHRA,LAHORE+,PAKISTAN"
NAWANKOT (ADJOINING ABADIES),"506,682","1,151,550","NAWANKOT+(ADJOINING+ABADIES),LAHORE+,PAKISTAN"
"NEW. SAMANABAD, MOZANG & NEW MOZANG","552,744","1,243,674","NEW.+SAMANABAD,+MOZANG+&+NEW+MOZANG,LAHORE+,PAKISTAN"
NEW SHALIMAR TOWN / COLONY,"475,974","1,182,258","NEW+SHALIMAR+TOWN+/+COLONY,LAHORE+,PAKISTAN"
NONARIAN (WESTERN. SIDE),"168,894","399,204","NONARIAN+(WESTERN.+SIDE),LAHORE+,PAKISTAN"
NONARIAN,"506,682","1,136,196","NONARIAN,LAHORE+,PAKISTAN"
NONARIAN SHALIMAR ROAD,-,"1,228,320","NONARIAN+SHALIMAR+ROAD,LAHORE+,PAKISTAN"
PAKI THATHI,"506,682","1,228,320","PAKI+THATHI,LAHORE+,PAKISTAN"
PIR GHAZI ROAD TO CHOWK BABA AZAM,"506,682","1,105,488","PIR+GHAZI+ROAD+TO+CHOWK+BABA+AZAM,LAHORE+,PAKISTAN"
POONCH ROAD CHUBURJI TO GANDA NALA,"537,390","1,366,506","POONCH+ROAD+CHUBURJI+TO+GANDA+NALA,LAHORE+,PAKISTAN"
POONCH ROAD FALLING IN SAMANABAD TOWN,"583,452","1,197,612","POONCH+ROAD+FALLING+IN+SAMANABAD+TOWN,LAHORE+,PAKISTAN"
PREM NAGAR,"429,912","951,948","PREM+NAGAR,LAHORE+,PAKISTAN"
RABANI ROAD (SAMANABAD),"537,390","1,197,612","RABANI+ROAD+(SAMANABAD),LAHORE+,PAKISTAN"
GULSHAN E RAVI MAIN BOULEVARD ROADUPTO BUND ROAD,"921,240","1,627,524","GULSHAN+E+RAVI+MAIN+BOULEVARD+ROADUPTO+BUND+ROAD,LAHORE+,PAKISTAN"
RASOOL PARK SAMANABAD / ICHRA,"506,682","1,120,842","RASOOL+PARK+SAMANABAD+/+ICHRA,LAHORE+,PAKISTAN"
REHMANPURA (ICHRA),"583,452","1,151,550","REHMANPURA+(ICHRA),LAHORE+,PAKISTAN"
REHMANPURA QUARTER,"583,452","1,151,550","REHMANPURA+QUARTER,LAHORE+,PAKISTAN"
RUSTAM PARK (NAWAN KOT),"506,682","2,484,000","RUSTAM+PARK+(NAWAN+KOT),LAHORE+,PAKISTAN"
SAMANABAD (BLOCK N) & ADJOINING ABADI,"568,098","1,243,674","SAMANABAD+(BLOCK+N)+&+ADJOINING+ABADI,LAHORE+,PAKISTAN"
MAIN ROAD SAMNABAD CHOWK TO  KUBRA,"1,059,426","1,642,878","MAIN+ROAD+SAMNABAD+CHOWK+TO++KUBRA,LAHORE+,PAKISTAN"
MASJID,,,"MASJID,LAHORE+,PAKISTAN"
SANDA KALAN & ADJOINNG ABADIES,"399,204","998,010","SANDA+KALAN+&+ADJOINNG+ABADIES,LAHORE+,PAKISTAN"
SANDA KALAN WESTERN SIDE,"176,572","537,390","SANDA+KALAN+WESTERN+SIDE,LAHORE+,PAKISTAN"
SANDA KHURD & ADJOINING ABADIES,"399,204","752,346","SANDA+KHURD+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
SANDA KHURD WESTERN SIDE,"128,272","537,390","SANDA+KHURD+WESTERN+SIDE,LAHORE+,PAKISTAN"
SHAH FARID ABAD,"506,682","1,105,488","SHAH+FARID+ABAD,LAHORE+,PAKISTAN"
SHAH KAMAL,"614,160","1,151,550","SHAH+KAMAL,LAHORE+,PAKISTAN"
SHAM NAGAR,"460,620","1,105,488","SHAM+NAGAR,LAHORE+,PAKISTAN"
SHAMA ROAD UPTO FEROZPUR ROAD,"583,452","1,397,214","SHAMA+ROAD+UPTO+FEROZPUR+ROAD,LAHORE+,PAKISTAN"
SHARIF PARK (ICHRA),"506,682","1,105,488","SHARIF+PARK+(ICHRA),LAHORE+,PAKISTAN"
SHERAKOT & ADJOINING ABADIES,"445,266","967,302","SHERAKOT+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
SHERAKOT 60 FEET ROAD,"506,682","1,105,488","SHERAKOT+60+FEET+ROAD,LAHORE+,PAKISTAN"
SHERAKOT WESTERN SIDE,"184,248","552,744","SHERAKOT+WESTERN+SIDE,LAHORE+,PAKISTAN"
SODIWAL & ADJOINING ABADIES,"475,974","1,105,488","SODIWAL+&+ADJOINING+ABADIES,LAHORE+,PAKISTAN"
SODIWAL AND ITS QUARTERS,"475,974","1,105,488","SODIWAL+AND+ITS+QUARTERS,LAHORE+,PAKISTAN"
