,vor_id,occurances-food,occurances-grocery_or_supermarket,occurances-mosque,occurances-point_of_interest,occurances-restaurant,occurances-school
177,vor331,0.0,0.0,0.0,1.0,0.0,0.0
178,vor343,0.0,0.0,0.0,4.0,0.0,0.0
179,vor344,2.0,7.0,4.0,48.0,4.0,3.0
180,vor345,0.0,0.0,0.0,4.0,0.0,2.0
181,vor346,14.0,5.0,5.0,111.0,15.0,12.0
182,vor347,5.0,2.0,8.0,63.0,5.0,13.0
183,vor348,0.0,0.0,1.0,4.0,0.0,0.0
184,vor349,0.0,0.0,1.0,23.0,0.0,1.0
185,vor350,6.0,7.0,8.0,101.0,11.0,20.0
186,vor351,11.0,9.0,10.0,73.0,30.0,18.0
187,vor352,14.0,9.0,10.0,88.0,7.0,25.0
188,vor353,8.0,4.0,5.0,124.0,5.0,18.0
189,vor354,8.0,2.0,1.0,40.0,6.0,5.0
190,vor367,0.0,0.0,0.0,3.0,2.0,1.0
191,vor368,0.0,1.0,5.0,92.0,11.0,12.0
192,vor369,7.0,8.0,11.0,109.0,3.0,18.0
193,vor370,1.0,4.0,10.0,98.0,10.0,5.0
194,vor371,0.0,0.0,0.0,43.0,4.0,0.0
195,vor372,3.0,3.0,4.0,58.0,10.0,6.0
196,vor373,10.0,2.0,6.0,70.0,19.0,5.0
197,vor374,7.0,0.0,12.0,84.0,16.0,16.0
198,vor375,7.0,6.0,14.0,94.0,8.0,20.0
199,vor376,7.0,0.0,4.0,122.0,5.0,9.0
200,vor377,12.0,1.0,6.0,62.0,2.0,17.0
201,vor389,0.0,0.0,0.0,0.0,0.0,0.0
202,vor390,5.0,5.0,2.0,79.0,10.0,5.0
203,vor391,4.0,3.0,1.0,111.0,21.0,4.0
204,vor392,0.0,0.0,0.0,1.0,0.0,0.0
205,vor393,0.0,1.0,3.0,64.0,2.0,4.0
206,vor394,2.0,4.0,1.0,71.0,2.0,1.0
207,vor395,10.0,0.0,1.0,63.0,3.0,15.0
208,vor397,0.0,0.0,0.0,1.0,0.0,0.0
209,vor398,11.0,8.0,8.0,67.0,9.0,11.0
210,vor399,7.0,3.0,7.0,88.0,10.0,11.0
211,vor410,0.0,0.0,0.0,2.0,0.0,0.0
212,vor412,0.0,0.0,0.0,3.0,0.0,0.0
213,vor414,0.0,0.0,0.0,1.0,1.0,0.0
214,vor415,0.0,0.0,0.0,7.0,0.0,4.0
215,vor418,0.0,1.0,1.0,4.0,0.0,4.0
216,vor419,4.0,4.0,4.0,83.0,6.0,16.0
217,vor420,0.0,0.0,0.0,3.0,0.0,1.0
218,vor432,0.0,0.0,0.0,0.0,0.0,0.0
219,vor433,0.0,3.0,5.0,19.0,1.0,5.0
220,vor439,0.0,0.0,0.0,0.0,0.0,1.0
221,vor440,8.0,6.0,8.0,98.0,15.0,20.0
222,vor441,0.0,0.0,0.0,1.0,0.0,0.0
223,vor462,0.0,0.0,0.0,0.0,0.0,0.0
224,vor463,1.0,1.0,4.0,32.0,3.0,10.0
225,vor464,0.0,0.0,0.0,3.0,0.0,3.0
226,vor485,0.0,0.0,0.0,0.0,0.0,0.0
227,vor486,0.0,0.0,0.0,0.0,0.0,0.0
