,Unnamed: 0,hhcode,Province,Region,PSU,idc,first_job_income,second_job_income,psu,weight,district,stratum,code
10391,47057,2502101010.0,Punjab,Urban,25021010.0,1.0,26000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10392,47059,2502101011.0,Punjab,Urban,25021010.0,1.0,20000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10393,47065,2502101012.0,Punjab,Urban,25021010.0,1.0,26000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10394,47067,2502101012.0,Punjab,Urban,25021010.0,3.0,15000.0,,25021010.0,1841.1279956948097,2502,LAHORE,2502.0
10395,47075,2502101403.0,Punjab,Urban,25021014.0,2.0,18000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10396,47076,2502101403.0,Punjab,Urban,25021014.0,3.0,20000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10397,47078,2502101403.0,Punjab,Urban,25021014.0,5.0,16000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10398,47083,2502101404.0,Punjab,Urban,25021014.0,2.0,24300.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10399,47085,2502101405.0,Punjab,Urban,25021014.0,1.0,26000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10400,47088,2502101405.0,Punjab,Urban,25021014.0,51.0,4000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10401,47091,2502101406.0,Punjab,Urban,25021014.0,1.0,31000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10402,47093,2502101407.0,Punjab,Urban,25021014.0,1.0,30000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10403,47097,2502101408.0,Punjab,Urban,25021014.0,1.0,17500.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10404,47099,2502101409.0,Punjab,Urban,25021014.0,1.0,18000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10405,47100,2502101409.0,Punjab,Urban,25021014.0,2.0,15000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10406,47101,2502101409.0,Punjab,Urban,25021014.0,3.0,15000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10407,47102,2502101409.0,Punjab,Urban,25021014.0,51.0,1000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10408,47105,2502101410.0,Punjab,Urban,25021014.0,1.0,10000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10409,47106,2502101410.0,Punjab,Urban,25021014.0,2.0,10000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10410,47107,2502101410.0,Punjab,Urban,25021014.0,3.0,10000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
10411,47108,2502101411.0,Punjab,Urban,25021014.0,1.0,14000.0,,25021014.0,1871.4074737995866,2502,LAHORE,2502.0
